Date,vv_value,Soil_Moisture
2016-01-16,-10.487721,0.45773424262734297
2016-01-04,-10.392281,0.46379068606571383
2016-05-15,-1.9424676,1.0
2016-03-04,-11.952778,0.36476447256773153
2016-02-21,-12.546728,0.3270735192963529
2016-02-09,-11.356613,0.40259598558571535
2016-05-27,-9.460016,0.5229504748552447
2016-07-26,-9.248314,0.5363846868081993
2016-09-24,-15.700841,0.12691942266254874
2016-06-08,-12.130598,0.35348034880189844
2016-08-19,-10.671212,0.4460902478353259
2016-07-02,-9.93371,0.49289074184921317
2016-08-07,-11.9579735,0.3644347758799272
2016-07-14,-11.057022,0.42160746867608595
2016-08-31,-10.858256,0.4342207863256167
2016-12-05,-13.108584,0.2914191910848136
2016-11-11,-13.089791,0.2926117596256488
2016-10-06,-17.261435,0.027887053726453365
2016-11-23,-12.297083,0.34291552288155924
2016-10-18,-10.110483,0.48167305874012745
2016-10-30,-11.785345,0.3753894567904553
2016-12-17,-10.871771,0.4333631497678885
2017-01-10,-12.197905,0.34920917279072466
2016-09-12,-11.701036,0.38073954784080744
2016-12-29,-14.448789,0.20637229483248937
2017-02-27,-13.581766,0.26139194863871973
2017-04-04,-12.129478,0.353551421901762
2017-01-22,-13.5243635,0.2650346036520379
2017-03-11,-12.43331,0.3342708129037832
2017-03-23,-13.6488695,0.2571336863559586
2017-04-28,-10.946017,0.4286516378281853
2017-04-16,-12.817053,0.3099192016886664
2017-05-10,-13.019021,0.29710269112327564
2017-06-15,-10.251116,0.4727487522641383
2017-06-03,-11.237134,0.4101778988880322
2017-02-03,-11.999799,0.361780608077836
2017-07-21,-9.769497,0.5033113909098292
2017-06-27,-8.930935,0.5565249630239025
2017-07-09,-9.3532715,0.5297242806663006
2017-05-22,-11.117251,0.4177854492727997
2017-08-02,-9.485909,0.5213073536277747
2017-08-14,-14.564997,0.198997953056649
2017-10-01,-10.0053005,0.48834774296012373
2017-09-07,-10.239889,0.4734611966321453
2017-08-26,-13.035929,0.29602974114783587
2017-09-19,-10.117296,0.4812407185353327
2017-10-25,-10.41599,0.46228615738297774
2017-10-13,-10.52306,0.455491695952274
2017-11-06,-9.21558,0.5384619250679609
2017-11-30,-9.905148,0.4947032328119829
2017-11-18,-9.346031,0.5301837492194809
2017-12-24,-10.590498,0.45121220692674113
2018-01-29,-12.725583,0.31572371637127095
2018-01-17,-9.093108,0.5462337685380378
2017-12-12,-11.319655,0.40494127096496213
2018-01-05,-12.359315,0.3389663968541421
2018-02-10,-12.336115,0.34043862535131525
2018-03-06,-12.688255,0.3180924812567226
2018-02-22,-11.568387,0.3891572046477695
2018-03-30,-15.4924555,0.140143175744345
2018-03-18,-11.201071,0.4124663892455129
2018-05-29,-12.383389,0.3374387059558255
2018-05-05,-7.2434044,0.6636124905744061
2018-04-23,-15.787803,0.12140097720689486
2018-04-11,-14.10008,0.228500714100625
2018-05-17,-8.839611,0.5623202128202749
2018-06-10,-10.542413,0.4542635908615071
2018-07-04,-10.514323,0.45604612958933444
2018-07-16,-7.4931774,0.6477623643492153
2018-08-21,-7.3711996,0.6555028468139775
2018-07-28,-11.459361,0.39607579017073496
2018-08-09,-7.5139456,0.6464444533201209
2018-08-21,-7.833737,0.6261510907239617
2018-09-14,-10.8029995,0.4377272602029464
2018-09-02,-11.537681,0.39110574983027807
2018-06-22,-11.993013,0.36221123491325913
2018-09-26,-7.553477,0.6439358648023126
2018-10-08,-11.572832,0.3888751332826861
2018-12-07,-13.352546,0.2759378200232898
2018-11-01,-11.057409,0.4215829103817581
2018-10-20,-7.2044272,0.6660859105994068
2019-01-12,-17.700891,0.0
2018-12-31,-11.2242155,0.41099768267427056
2019-10-27,-6.6831045,0.6991680715978225
2019-02-05,-12.7148485,0.31640490761277545
2019-11-20,-9.927721,0.4932707925591084
2019-12-02,-6.452326,0.7138128424700152
2019-12-14,-7.8621807,0.6243461068573649
2019-11-08,-10.312484,0.46885445405661585
2019-01-24,-11.549726,0.3903413967161207
2019-12-26,-9.09767,0.5459442725723437
2019-02-11,-13.294216,0.27963933244743244
2019-03-31,-14.608003,0.19626887293813916
2019-04-12,-11.75858,0.377087913502819
2019-03-19,-15.864327,0.11654490765871917
2019-02-23,-11.3799715,0.401113698975749
2019-04-24,-16.184399,0.09623373871271917
2019-03-07,-14.506041,0.20273919026696535
2019-05-06,-13.167539,0.2876780173326222
2019-05-30,-9.64299,0.5113392879137897
2019-06-23,-13.30723,0.27881348841026815
2019-05-18,-13.905076,0.2408753022843643
2019-07-29,-10.969748,0.42714571306670185
2019-07-17,-10.804048,0.43766072435901165
2019-08-10,-8.6854105,0.5721054874055485
2019-08-22,-11.492956,0.3939439144654534
2019-06-11,-12.7751875,0.3125759078157527
2019-07-05,-9.5492,0.5172910254461115
2019-09-27,-8.564551,0.5797750046492595
2019-10-21,-8.822095,0.5634317453356407
2019-09-03,-12.762438,0.3133849671788867
2019-11-02,-6.581854,0.7055932384707978
2019-10-09,-9.761936,0.5037911977920329
2019-09-15,-10.17482,0.4775903533598418
2019-12-08,-8.670472,0.5730534566040407
2019-11-26,-8.00606,0.6152157962705838
2019-11-14,-7.3475957,0.657000706047789
2019-12-20,-7.3252563,0.658418322482692
